"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"ING1_TARGET_GENES",-1.56173529425961,0.0016573701481526,0.250262892371042,106,-0.508862458264498,36,"Mybl2 Cep126 Nr4a2 Pole Lrig3 Efcab11 Rrm2 Cdca5 Mms22l Diaph3 Sass6 Kif11 Wdr62 Clspn Aurkb Nek2 Mki67 Sgo2a Gm10501 Rad51 Tedc1 Pbk Pomt1 Ckap2l Taf4b Rcc1 Ipo11 Cdca8 Tex30 Smad7 Arhgef39 Kif2c Tpx2 Trmt61a Apbb2 Mis18a"
"AHCY_AHCYL_TARGET_GENES",-0.920379821956495,0.635269200757998,1,100,-0.301707882074282,24,"1110019D14Rik Rmi2 Rad54b Cdca7 Cenpu Ets2 Lins1 Snhg6 Rnf170 Asnsd1 Dsn1 Sacs Mgme1 Asb7 Frat2 Srsf6 Rad51b Epm2a Zc3hc1 Pou2f1 2810013P06Rik Dnajc2 Nsl1 Rxylt1"
"BAZ1A_TARGET_GENES",0.735975376214322,1,1,369,0.164141395396527,58,"Hspb6 A330035P11Rik A630052C17Rik Pgap1 Azin2 Ccdc142os Fscn1 Lcmt2 Kat14 Nmt2 Fastkd2 Zfp850 Med23 Usp32 Zpbp2 Pigg Fdxacb1 1700040D17Rik Acad10 Ermp1 Dimt1 Usp21 Rbm48 Pcnx4 Fntb Trip4 Tmem87a Tsga10 Impa2 Tbc1d32 Napepld Thg1l Rhot1 Gm11399 Atn1 Tubg2 Sfi1 Terf2 Hspa1b Acer3 Cep44 Zfp341 Ccdc127 Setd4 Yipf2 Rptor Mgst3 Pex3 Kif3a Emsy Dync1i2 Zfp664 Smim12 Acsf3 Arid4a Asah1 Mob1a Sec11a"
"BRD3_TARGET_GENES",-0.856770783026025,0.879790765516548,1,443,-0.256964480596662,100,"Fbxl2 Gadd45g Aunip Kif20a Gm19265 Cdca5 Tmem267 Crybg2 Qtrt2 Mms22l Adgrg3 Stmn1 Zfp457 Hk1os Zfp719 Gins2 A930016O22Rik Fbf1 Mrm3 Mpp4 Fosb Ccp110 Kntc1 Cdnf Ggnbp1 Sugct Gm10501 Fam98a 5430416N02Rik Ccdc191 Gm4117 Cox7a1 Itpkc Smpd4 Cgas 2610020C07Rik Nsun6 Eed Hlx Traip Prkrip1 Asb1 Ints9 Mcm2 Mst1 Ppp1r15b Nup93 Tex30 Apmap Dcakd Lactb2 Gen1 Acad11 Ffar4 Pigf Dtymk Alg9 Chmp7 Amn1 Dcp1a Cdk20 Pafah2 Tonsl Akirin2 Rbm19 Med22 Sesn2 E230029C05Rik Hjurp Tti2 Abhd4 Hk1 Etf1 Capn3 Gfod2 Commd9 Cux1 Cdc42bpg Lsm2 Neil3 Ganc Slc17a5 Rsl1d1 Paip2 Pithd1 Calr Atg14 Snx14 Mcur1 Ccdc174 Grk4 Taf5 Pop4 Limk2 Abce1 Kbtbd3 Pxn Ube3b Kri1 Ing1"
"BRWD1_TARGET_GENES",-0.984365075034705,0.528965158606344,1,214,-0.303816164277186,52,"1110019D14Rik Gpr19 Nuf2 Myl4 Fcmr Zwilch Bcl2 2510009E07Rik Rita1 Diaph3 Brca1 Gm13920 Pde4d Kntc1 Ankrd9 Meis1 Tctn3 Zfp493 Fbxl18 Tmem218 Arhgap29 Ang Melk Smc4 Ehd1 Syvn1 Polr3e Gfra1 Atp11a F8a Rnf141 Ado Cep83 Commd5 Runx1 Rpp14 Sac3d1 Serpinf1 Ppp1r15a Txndc12 Slx4ip Usp5 Isoc2b Rabl6 0610043K17Rik Tcp1 Mzt2 Ganc Faap100 Hspbp1 Tpp2 Ankfy1"
"CARM1_TARGET_GENES",-0.883298223396655,0.695088676671214,1,87,-0.294132388293815,21,"2900052L18Rik Fcmr C630043F03Rik Mtss2 E330020D12Rik Trip10 Kntc1 Gamt Dab2ip Rttn Commd5 Erc1 Hes6 Aspm Irf3 Arhgap10 Cdk4 Aprt Tmem176a Usp53 Ptpa"
"CBX6_TARGET_GENES",-0.958947002456691,0.558496915311273,1,95,-0.316183693860548,16,"Hmox1 Gpat3 Igf1 Hoxaas3 Kcnk12 Pde4d Tmem38a Cacnb2 Pym1 Fam111a Vwa2 Kctd21 Meis1 Slc35d3 Trp53inp2 Cwc25"
"CEBPG_TARGET_GENES",-0.904911725877958,0.724791430631373,1,242,-0.277760164638844,57,"Atf3 Gdf9 Hmox1 Gm15764 Soat2 Sh2d6 Gm16253 Gpt2 5930430L01Rik Recql4 Cenpl Ptpn22 Frs3 Cnn3 Ccp110 Kifc5b Cdnf Pard3 Pkdcc Cldn12 Usp2 Mthfr Ddit3 Mdn1 Phyhd1 Gm9929 Cass4 Mcm3 Sertad2 Lztfl1 Tnks1bp1 Creld1 Slc6a9 Stk40 Ppp1r15b Dhx33 Abcc5 Phf10 Flna Nnt Crls1 Tnk2 Mrpl54 Enc1 Serpinf1 Ppp1r15a Txndc12 Nisch Mindy3 Tecpr1 Frat2 Smad3 Hax1 Hjurp Zfp672 Josd1 Spata1"
"CGAS_TARGET_GENES",0.824300146830681,0.870695713281799,1,72,0.220351557239319,7,"Sult2b1 Gm11696 Tom1l2 Met Map2k4 Ermp1 Mbnl3"
"CTNNB1_TARGET_GENES",-0.952965571606672,0.568517058889765,1,93,-0.314882281940595,14,"Ptk7 2900052L18Rik Mast2 Wnt6 Gpld1 Prlr Glis3 Eps8 Gabbr1 Uba3 Atp6v1g2 2610021A01Rik Pctp Mroh2a"
