"cell_type","gene","avg_log2FC","p_val","p_val_adj","pct.1","pct.2"
"ProB","Plac8",1.61158211636563,5.45299834761068e-72,1.76050051652611e-67,0.971,0.598
"ProB","Myl10",3.31834922973068,4.08073437950855e-63,1.31746509442434e-58,0.802,0.22
"ProB","H2afy",1.17702002838699,4.30082284228009e-56,1.38852065463013e-51,0.984,0.864
"ProB","Gimap4",2.33529763942004,2.59247634042948e-53,8.36980986507659e-49,0.9,0.235
"ProB","Pnp",2.07808648315722,3.27599964129726e-53,1.05765648419282e-48,0.92,0.455
"ProB","Il7r",1.26342363622358,5.23511940110218e-50,1.69015829864584e-45,0.976,0.644
"ProB","Gpx1",0.931944953348698,2.13093440313971e-48,6.87972172053657e-44,0.979,0.826
"ProB","Sell",1.84209278997571,3.00707357393477e-46,9.70833703344841e-42,0.894,0.288
"ProB","Cdc25b",-2.77071276626582,4.19553724310901e-45,1.35452919893775e-40,0.321,0.689
"ProB","Gpam",-3.50583351591421,1.74707749673215e-43,5.64043969819974e-39,0.109,0.538
"ProB","Cd52",0.880004662801384,3.43147225953269e-43,1.10785081899013e-38,0.937,0.644
"ProB","Gm43305",1.15139016081163,4.94486999509877e-43,1.59645127791764e-38,0.961,0.591
"ProB","Fth1",0.42532200196209,8.442421415538e-43,2.72563575400644e-38,0.994,0.955
"ProB","Tpd52",-2.32900148678929,2.11375842419065e-40,6.82426907249952e-36,0.359,0.742
"ProB","Ramp1",1.86322607411127,1.69541390806814e-39,5.47364380219798e-35,0.875,0.326
"ProB","Rpl37",0.454478560862031,3.45433042316945e-39,1.11523057712026e-34,0.997,0.985
"ProB","Myl12b",0.702031257888772,1.27562765663679e-38,4.11836388945188e-34,0.962,0.75
"ProB","Rpsa",0.587516260129033,9.9624733065869e-38,3.21638450703158e-33,0.999,0.992
"ProB","Rps2",0.811972641701773,3.79424500092494e-37,1.22497199854862e-32,0.998,0.977
"ProB","Rps5",0.479200427515448,8.06502663110007e-37,2.60379384785066e-32,0.996,0.97
"ProB","Ly6d",0.991145813538841,3.3153384024588e-36,1.07035700323382e-31,0.911,0.341
"ProB","Lcp1",0.987201139657522,7.37023517046686e-36,2.37948042478523e-31,0.939,0.5
"ProB","Selenom",-3.65111235657154,9.47793074587721e-36,3.05994994130646e-31,0.135,0.477
"ProB","Rps20",0.432269535173418,1.23488822402989e-35,3.9868366312805e-31,0.999,0.992
"ProB","Parp1",0.960243751210123,2.98552519201032e-35,9.63876808240532e-31,0.95,0.765
"ProB","Gm525",4.2100055719003,3.59318866794416e-35,1.16006096144577e-30,0.492,0.121
"ProB","Heyl",-5.59919089543338,3.87142347477375e-35,1.24988906883071e-30,0.011,0.394
"ProB","Cdk6",1.5488425813085,5.27241903435392e-35,1.70220048524116e-30,0.869,0.402
"ProB","Rps3",0.430056061284486,1.11105169138935e-34,3.58703038565051e-30,0.998,0.985
"ProB","Rps7",0.28172997358376,1.30148389058865e-34,4.20184074076546e-30,0.995,0.992
"ProB","Adgrg3",3.7333270591622,2.81752321976352e-34,9.09637371500654e-30,0.828,0.114
"ProB","Rps28",0.355755882931985,4.16828674023438e-34,1.34573137408467e-29,0.996,1
"ProB","Rpl36a",0.551460729724538,4.36597010335106e-34,1.40955344786689e-29,0.985,0.947
"ProB","Rpl39",0.452156583340307,1.0889097127093e-33,3.51554500748197e-29,0.996,0.985
"ProB","Rpl32",0.424816232059094,2.35832529233245e-33,7.6138532062953e-29,0.995,0.97
"ProB","Rps19",0.476096201816043,2.46025568099709e-33,7.9429354660991e-29,0.998,1
"ProB","Rpl10a",0.536298522514879,2.81544418420495e-33,9.08966154870569e-29,0.994,0.985
"ProB","Rps8",0.417101024163536,4.59825199041341e-33,1.48454565510497e-28,0.999,0.992
"ProB","Rpl19",0.326375014874579,1.54403171337009e-32,4.98490638661533e-28,0.996,0.992
"ProB","Atp1b3",0.845854649762416,2.14287247655889e-32,6.91826379057038e-28,0.967,0.78
"ProB","Rps26",0.492696019543224,9.74303090964768e-32,3.14553752917975e-27,0.994,0.962
"ProB","Rpl12",0.618357629815891,1.31329237427718e-31,4.23996443035388e-27,0.982,0.909
"ProB","Rplp0",0.463385811625277,1.93378179489716e-31,6.24321452482549e-27,0.997,1
"ProB","Rpl23",0.309424130644056,3.09556997793662e-31,9.99404767376839e-27,0.997,0.992
"ProB","Rps29",0.273686759274733,3.16871111265697e-31,1.0230183827213e-26,0.996,1
"ProB","Prep",-2.38582357466066,7.98128487872847e-31,2.57675782309749e-26,0.479,0.765
"ProB","Rnase12",4.03274915863602,9.66561416210029e-31,3.12054353223408e-26,0.689,0.068
"ProB","Rps4x",0.331931510007657,1.03849799665419e-30,3.35279078219806e-26,0.997,0.977
"ProB","Rpl35",0.333796403059003,1.40171798512971e-30,4.52544651499127e-26,0.995,0.992
"ProB","Grb7",-7.58449308700309,1.65031135839904e-30,5.32803022059131e-26,0.006,0.417
